Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Lat,Lng,Bank Count,Unemployment Rate
49058,19031,40.8,46777.0,22137,13.18375282,42.630691600000006,-85.29293840000001,9,5.312385055961326
71405,5687,35.8,55242.0,23941,15.73764727,31.4061799,-92.396174,12,4.571830490592579
20634,6562,31.9,79944.0,35961,9.295946358,38.2201614,-76.4967919,9,4.053642182261505
38487,762,41.6,38125.0,18884,24.40944882,35.7310368,-87.24192990000002,0,10.236220472440944
58466,509,44.5,69844.0,36981,9.430255403,46.559422399999995,-98.3481542,1,1.1787819253438114
89316,1513,38.7,63603.0,26280,14.87111699,39.564892,-115.9940986,1,0.6609385327164574
66507,1237,31.8,67500.0,23114,2.425222312,38.9793352,-96.0044121,1,1.5359741309620047
93637,40515,29.5,48974.0,17449,20.05183265,36.91529379999999,-120.20510959999999,0,3.2580525731210663
92392,54557,27.9,58667.0,19090,19.85446414,34.4854334,-117.42039740000001,14,7.027512509852081
49080,15624,40.9,53743.0,25048,11.97516641,42.446414000000004,-85.58179109999999,6,6.003584229390681
53118,7248,46.9,81619.0,38393,3.214679912,42.9902388,-88.49849909999999,2,3.187086092715232
14033,2170,44.3,81979.0,32764,6.728110599,42.662873700000006,-78.69092629999999,1,4.746543778801843
71331,841,34.3,37109.0,18372,24.61355529,31.269297299999998,-92.04691509999999,0,2.853745541022592
60645,46913,35.0,48918.0,25500,18.4192015,42.0105286,-87.6926257,197,4.63197834289003
46236,27509,40.3,80833.0,38140,4.74753717,39.9008411,-85.96110820000001,47,3.69697190010542
92285,2739,50.1,22917.0,17840,37.60496532,34.3350492,-116.5373923,1,5.768528660094925
46524,2541,32.0,60033.0,19849,13.34120425,41.3129797,-86.0325629,3,3.2270759543486816
83830,929,42.7,37244.0,16450,8.934337998,47.079516600000005,-116.38457659999999,0,0.0
10553,9895,40.7,58514.0,26137,15.26023244,40.907107200000006,-73.8213213,196,9.004547751389591
64480,325,57.5,65000.0,34670,11.69230769,40.0720342,-94.6657027,0,0.0
44629,2707,35.9,43545.0,19101,9.050609531000001,40.3480833,-81.4388858,2,3.3985962319911343
31405,37016,34.6,43051.0,23719,18.3623298,32.0371137,-81.1747498,49,5.149124702831208
28635,3920,35.6,30565.0,14292,23.57142857,36.333802500000004,-81.1306391,0,4.821428571428571
63039,1297,31.7,44521.0,18539,4.703161141,38.497733399999994,-90.8436885,6,6.939090208172706
63566,118,38.9,34107.0,15108,0.0,40.03619929999999,-92.9475662,1,0.0
11220,103089,32.4,37580.0,16263,30.76855921,40.6385229,-74.01532309999999,199,5.7852923202281525
36736,1756,42.3,28333.0,17708,33.20045558,32.0755092,-87.7664934,0,5.808656036446469
28618,1871,44.3,41929.0,23581,9.780865847000001,36.2119208,-81.5267282,1,1.817210048102619
53156,3054,42.4,53600.0,25161,9.790438769,42.8749223,-88.61448390000001,1,4.2239685658153245
90302,30502,32.4,43042.0,21718,18.77253951,33.9742906,-118.3520389,124,6.812668021769064
49616,1884,45.7,39145.0,18568,17.78131635,44.5769402,-86.0733498,4,8.65180467091295
12941,1374,44.6,72361.0,40100,8.806404658,44.3433912,-73.71925279999999,0,6.986899563318778
51448,653,40.8,44219.0,22819,11.332312400000001,42.2111665,-95.3311652,1,0.6125574272588055
14806,2161,41.6,49792.0,22379,17.26052753,42.1414761,-77.779537,1,4.025913928736696
44313,24611,41.0,48852.0,31436,14.68042745,41.1426985,-81.5706109,74,4.611758969566454
17737,5881,42.3,51007.0,24229,13.110015300000002,41.2806213,-76.6643728,3,6.512497874511138
19372,1536,35.3,75347.0,44586,2.799479167,39.999173799999994,-75.7618593,29,5.989583333333333
15081,342,50.2,31500.0,22177,20.76023392,40.5785167,-80.236488,35,1.4619883040935673
46617,9947,33.0,48726.0,27706,21.40343822,41.6841001,-86.231094,81,4.393284407359003
