Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Lat,Lng,Bank Count
49058,19031,40.8,46777,22137,13.18375282,42.6306916,-85.2929384,9
71405,5687,35.8,55242,23941,15.73764727,31.4061799,-92.396174,12
20634,6562,31.9,79944,35961,9.295946358,38.2201614,-76.4967919,9
38487,762,41.6,38125,18884,24.40944882,35.7310368,-87.2419299,0
58466,509,44.5,69844,36981,9.430255403,46.5594224,-98.3481542,1
89316,1513,38.7,63603,26280,14.87111699,39.564892,-115.9940986,1
66507,1237,31.8,67500,23114,2.425222312,38.9793352,-96.0044121,1
93637,40515,29.5,48974,17449,20.05183265,36.9152938,-120.2051096,0
92392,54557,27.9,58667,19090,19.85446414,34.4854334,-117.4203974,14
49080,15624,40.9,53743,25048,11.97516641,42.446414,-85.5817911,6
53118,7248,46.9,81619,38393,3.214679912,42.9902388,-88.4984991,2
14033,2170,44.3,81979,32764,6.728110599,42.6628737,-78.6909263,1
71331,841,34.3,37109,18372,24.61355529,31.2692973,-92.0469151,0
60645,46913,35,48918,25500,18.4192015,42.0105286,-87.6926257,197
46236,27509,40.3,80833,38140,4.74753717,39.9008411,-85.9611082,47
92285,2739,50.1,22917,17840,37.60496532,34.3350492,-116.5373923,1
46524,2541,32,60033,19849,13.34120425,41.3129797,-86.0325629,3
83830,929,42.7,37244,16450,8.934337998,47.0795166,-116.3845766,0
10553,9895,40.7,58514,26137,15.26023244,40.9071072,-73.8213213,196
64480,325,57.5,65000,34670,11.69230769,40.0720342,-94.6657027,0
44629,2707,35.9,43545,19101,9.050609531,40.3480833,-81.4388858,2
31405,37016,34.6,43051,23719,18.3623298,32.0371137,-81.1747498,49
28635,3920,35.6,30565,14292,23.57142857,36.3338025,-81.1306391,0
63039,1297,31.7,44521,18539,4.703161141,38.4977334,-90.8436885,6
63566,118,38.9,34107,15108,0,40.0361993,-92.9475662,1
11220,103089,32.4,37580,16263,30.76855921,40.6385229,-74.0153231,199
36736,1756,42.3,28333,17708,33.20045558,32.0755092,-87.7664934,0
28618,1871,44.3,41929,23581,9.780865847,36.2119208,-81.5267282,1
53156,3054,42.4,53600,25161,9.790438769,42.8749223,-88.6144839,1
90302,30502,32.4,43042,21718,18.77253951,33.9742906,-118.3520389,124
49616,1884,45.7,39145,18568,17.78131635,44.5769402,-86.0733498,4
12941,1374,44.6,72361,40100,8.806404658,44.3433912,-73.7192528,0
51448,653,40.8,44219,22819,11.3323124,42.2111665,-95.3311652,1
14806,2161,41.6,49792,22379,17.26052753,42.1414761,-77.779537,1
44313,24611,41,48852,31436,14.68042745,41.1426985,-81.5706109,74
17737,5881,42.3,51007,24229,13.1100153,41.2806213,-76.6643728,3
19372,1536,35.3,75347,44586,2.799479167,39.9991738,-75.7618593,29
15081,342,50.2,31500,22177,20.76023392,40.5785167,-80.236488,35
46617,9947,33,48726,27706,21.40343822,41.6841001,-86.231094,81
67849,486,43,63214,26015,4.938271605,38.146514,-99.7009754,1
60137,38384,41.1,89386,47759,5.460608587,41.853696,-88.0607565,143
49415,6260,44.3,51587,26853,6.757188498,43.1669959,-86.1141045,9
2056,11274,42.5,134104,43630,4.479332979,30.7554142,-100.5861245,0
28436,2170,37.9,45417,22077,13.13364055,34.2755079,-78.2703951,0
75457,6116,40.7,39909,26517,15.89274035,33.172705,-95.2057909,7
77328,15666,34,48250,19670,18.51780927,30.3792489,-95.1849219,0
35117,5550,37.5,72500,29385,13.53153153,33.6793182,-86.8922723,12
22025,16955,40,115000,48008,3.108227661,38.5947311,-77.3381855,43
77373,55927,32.4,67742,25921,9.578557763,30.0605454,-95.3834854,36
22642,3912,37.1,76198,28685,10.60838446,38.9465403,-78.0766036,0
57004,3563,39.7,53958,25930,3.704743194,43.0894534,-96.7922355,3
31007,1105,41.8,29417,14202,18.64253394,32.1773202,-83.9426698,0
98362,22052,47.5,43827,25914,14.38871758,47.9506586,-123.3456072,0
25669,908,44,35302,16972,23.78854626,37.9381897,-82.4644445,0
49781,4303,44.2,39838,23000,15.26841738,46.0316836,-84.7552977,0
11693,11335,39.1,50570,25149,21.44684605,40.6166766,-73.8272029,83
73673,352,53.6,40234,26554,16.19318182,35.0343164,-99.5673479,0
36688,545,20.1,,3086,0,30.6954595,-88.174414,102
16029,647,40,41875,22128,13.29211747,40.8756815,-79.841579,17
85743,28858,41.2,69577,32411,7.422551805,32.3324642,-111.2129616,0
34209,33008,54.1,51572,28711,9.294716432,27.5073732,-82.6375402,65
38224,1044,39.2,36932,19238,20.11494253,36.4053896,-88.4984991,1
52560,483,44.6,53472,21979,11.18012422,40.8259755,-92.2335066,0
78941,2754,45.7,40304,23115,11.29266521,29.7574106,-97.1574784,0
50201,8139,40.4,56619,28908,7.777368227,42.065743,-93.4599326,7
86507,2464,24.1,22009,8346,48.29545455,36.4106866,-109.2593642,0
93545,2214,40.6,32473,18444,18.06684734,36.5131184,-118.0888578,0
54151,3376,45.7,45813,23500,13.24052133,45.715354,-87.9804239,2
28076,1060,30,25221,9871,52.45283019,35.266252,-81.7932261,0
92843,44351,33.3,51991,17186,20.31972222,33.7675239,-117.9424743,172
47434,115,52.5,,21634,0,39.0126074,-86.5454322,0
24843,140,60.4,20673,14761,37.14285714,37.4731506,-81.7010143,0
73951,1085,28.7,43125,16762,22.94930876,36.9306369,-101.048549,0
36558,3946,42.1,42500,21410,13.71008616,31.5722275,-88.362785,0
43030,180,54,,27844,0,39.9595844,-82.4153441,11
17018,4175,47.1,58438,32552,6.682634731,40.4011263,-76.8836261,5
2382,14567,39.1,72462,32541,7.736665065,36.775953,-84.1572148,7
97389,1576,36.5,46250,21717,16.18020305,44.5277138,-123.0941587,1
48469,1175,56.4,44438,25798,14.63829787,43.4238357,-82.5510469,1
99737,4964,33.5,71250,32842,11.42224013,63.8367895,-145.1298259,0
27541,4295,45.1,56346,27996,5.797438882,36.2603922,-79.0871005,0
57078,18894,40.7,50660,27293,12.96178681,42.9124127,-97.4597725,14
26205,3079,41.8,32128,16382,35.85579734,38.3297234,-80.621591,2
25427,12630,42.9,54619,27919,10.72842439,39.5113324,-78.0880129,0
44867,2294,42.1,59268,27746,6.800348736,41.1388267,-83.0039075,1
14855,988,29.3,43750,15913,20.85020243,42.1589149,-77.4931403,0
42456,1438,39.6,47930,21130,14.5340751,37.5070164,-87.5593613,0
25571,2371,43.7,36650,16769,26.40236187,38.2770826,-82.1822399,5
36701,22605,39.4,32136,20992,26.14023446,32.4800392,-87.0424393,11
66088,2579,42.8,50667,25268,7.98759209,39.3183799,-95.435853,1
72680,769,46.6,28750,23495,21.58647594,35.8825209,-92.2925911,0
75783,7486,45.1,40322,23210,12.03580016,32.8260186,-95.435853,3
59201,5193,30.8,42699,17624,20.75871365,48.379169,-105.6163785,0
78742,810,33.6,19688,15485,50.86419753,30.2406057,-97.6602365,13
7603,8231,38.7,77821,31670,8.832462641,40.0434508,-81.4263054,0
13068,5693,44,66480,30384,7.728789742,42.5014845,-76.3521514,3
25253,2118,38.9,40245,18032,22.56846081,38.8993559,-81.9752995,0
36619,15405,37.9,55962,24392,11.1716975,30.5960565,-88.1974148,42
15937,601,45.7,65000,24503,5.158069884,40.2084869,-78.9885845,3
71834,1385,53.3,39821,23159,20.64981949,33.1515268,-93.9470396,0
71825,686,32.6,35625,13098,36.1516035,33.8682784,-93.5509074,0
54229,4123,40.4,68667,29538,5.918020859,44.5485744,-87.8353278,0
25865,1368,38.8,65163,25341,10.30701754,37.7252022,-81.3619402,1
25559,2105,41.9,55120,22464,11.11638955,38.3233363,-82.2474648,2
19057,18171,38,62863,25069,9.515161521,40.1344021,-74.8565613,82
78885,106,55.5,80417,38706,4.716981132,29.7918251,-99.5228528,0
84118,67019,30.4,61203,19777,12.23235202,40.6479987,-112.0059052,73
58369,1306,38.9,29375,17469,30.93415008,48.9696899,-99.7917612,0
85233,39027,34.7,75365,32900,7.628052374,33.3519301,-111.8210866,123
95237,3269,38.7,44542,22400,16.70235546,38.160627,-121.1424001,2
59752,3236,44,51176,25177,8.683559951,45.8869053,-111.5684932,3
10007,6525,34,216037,157713,2.206896552,40.7136487,-74.0087126,200
63935,9863,42.5,31208,16144,27.92253878,36.6488463,-90.9438468,0
17327,8190,46.7,67791,32177,3.504273504,39.7719423,-76.7567368,18
22952,2088,46.3,43095,23158,5.651340996,37.9545568,-78.9627624,0
57568,647,45.2,51700,28055,7.882534776,43.9119937,-100.1255164,1
4010,1336,47.6,45592,25609,10.62874251,40.4342726,-77.236526,3
55060,28884,39.4,54945,27727,10.4313807,44.0888533,-93.2181477,12
62633,690,50.3,56250,27852,7.536231884,40.2065985,-89.8692203,1
96783,2149,40.4,31705,17613,21.77757096,19.8344853,-155.1135807,0
56453,855,41,50089,21875,12.86549708,46.3037542,-95.1628544,0
16870,6735,39.1,84808,37320,3.414996288,40.8033255,-78.0880129,0
30152,41689,36.7,74559,35046,7.404831011,34.0041089,-84.6583745,39
44305,21899,37.6,36944,18868,23.43486004,41.0745913,-81.460856,95
47232,3280,37.4,60128,21838,13.35365854,39.1100449,-85.7974141,0
54822,4585,39.9,48598,22565,11.23227917,45.4180506,-91.7211948,7
30666,9287,37.3,53627,23167,8.301927425,33.9527142,-83.581615,3
36858,540,37.4,71563,25395,2.407407407,32.2912801,-85.2929384,0
38870,2559,40.8,53443,22094,7.463853068,34.0752962,-88.3433623,1
